ident8;begin.opschrift;begin.afstand;eind.opschrift;eind.afstand;gebied
A0017341;0;0;0;157;Gemeente - GemeenteMechelen
A0017342;0;0;0;157;Gemeente - GemeenteMechelen
A0017351;0;0;0;505;Gemeente - GemeenteMechelen
A0017352;0;0;0;505;Gemeente - GemeenteMechelen
A0017361;0;0;0;556;Gemeente - GemeenteMechelen
A0017361;0;556;0;1862;Agentschap Wegen en Verkeer - AWV112
A0017362;0;0;0;556;Gemeente - GemeenteMechelen
A0017362;0;556;0;1862;Agentschap Wegen en Verkeer - AWV112
A0017371;0;0;0;429;Gemeente - GemeenteMechelen
A0017372;0;0;0;429;Gemeente - GemeenteMechelen
A0017381;0;0;0;760;Agentschap Wegen en Verkeer - AWV112
A0017382;0;0;0;760;Agentschap Wegen en Verkeer - AWV112
A0017391;0;0;0;170;Gemeente - GemeenteMechelen
A0017391;0;170;0;290;Gemeente - GemeenteMechelen
A0017392;0;0;0;170;Gemeente - GemeenteMechelen
A0017392;0;170;0;290;Gemeente - GemeenteMechelen
A0017401;0;0;0;179;Agentschap Wegen en Verkeer - AWV121
A0017402;0;0;0;179;Agentschap Wegen en Verkeer - AWV121
A0017411;0;0;0;454;Agentschap Wegen en Verkeer - AWV121
A0017412;0;0;0;454;Agentschap Wegen en Verkeer - AWV121
A0017421;0;0;0;444;Agentschap Wegen en Verkeer - AWV121
A0017421;0;444;0;1230;Agentschap Wegen en Verkeer - AWV121
A0017422;0;0;0;444;Agentschap Wegen en Verkeer - AWV121
A0017422;0;444;0;1230;Agentschap Wegen en Verkeer - AWV121
A0017441;0;0;0;904;Agentschap Wegen en Verkeer - AWV121
A0017442;0;0;0;904;Agentschap Wegen en Verkeer - AWV121
A0017451;0;0;0;705;Agentschap Wegen en Verkeer - AWV121
A0017452;0;0;0;705;Agentschap Wegen en Verkeer - AWV121
A0017461;0;0;0;464;Gemeente - GemeenteMechelen
A0017462;0;0;0;464;Gemeente - GemeenteMechelen
A0017501;0;0;0;835;Agentschap Wegen en Verkeer - AWV123
A0017502;0;0;0;835;Agentschap Wegen en Verkeer - AWV123
A0017511;0;-1;0;126;Agentschap Wegen en Verkeer - AWV123
A0017512;0;-1;0;126;Agentschap Wegen en Verkeer - AWV123
A0017521;0;0;0;663;Agentschap Wegen en Verkeer - AWV123
A0017522;0;0;0;663;Agentschap Wegen en Verkeer - AWV123
A0017531;0;0;0;266;Agentschap Wegen en Verkeer - AWV123
A0017532;0;0;0;266;Agentschap Wegen en Verkeer - AWV123
A0017541;0;-5;0;106;Agentschap Wegen en Verkeer - AWV123
A0017542;0;-5;0;106;Agentschap Wegen en Verkeer - AWV123
A0017551;0;-3;0;99;Agentschap Wegen en Verkeer - AWV123
A0017552;0;-3;0;99;Agentschap Wegen en Verkeer - AWV123
A0017561;0;0;0;1175;Agentschap Wegen en Verkeer - AWV123
A0017562;0;0;0;1175;Agentschap Wegen en Verkeer - AWV123
A0017571;0;0;0;407;Agentschap Wegen en Verkeer - AWV123
A0017572;0;0;0;407;Agentschap Wegen en Verkeer - AWV123
A0017581;0;0;0;173;Agentschap Wegen en Verkeer - AWV123
A0017582;0;0;0;173;Agentschap Wegen en Verkeer - AWV123
A0017591;0;0;0;81;Agentschap Wegen en Verkeer - AWV123
A0017592;0;0;0;81;Agentschap Wegen en Verkeer - AWV123
A0017601;0;-428;50;-2;Agentschap Wegen en Verkeer - AWV123
A0017602;0;-428;50;-2;Agentschap Wegen en Verkeer - AWV123
A0017611;0;0;0;526;Agentschap Wegen en Verkeer - AWV123
A0017611;0;526;0;677;Agentschap Wegen en Verkeer - AWV123
A0017612;0;0;0;526;Agentschap Wegen en Verkeer - AWV123
A0017612;0;526;0;677;Agentschap Wegen en Verkeer - AWV123
A0017621;0;0;0;1;Agentschap Wegen en Verkeer - AWV123
A0017621;0;1;0;463;Agentschap Wegen en Verkeer - AWV123
A0017622;0;0;0;1;Agentschap Wegen en Verkeer - AWV123
A0017622;0;1;0;463;Agentschap Wegen en Verkeer - AWV123
A0017631;0;0;0;600;Agentschap Wegen en Verkeer - AWV123
A0017632;0;0;0;600;Agentschap Wegen en Verkeer - AWV123
A0017641;0;-14;0;600;Agentschap Wegen en Verkeer - AWV123
A0017642;0;-14;0;600;Agentschap Wegen en Verkeer - AWV123
A0017651;0;0;0;1112;Agentschap Wegen en Verkeer - AWV123
A0017652;0;0;0;1112;Agentschap Wegen en Verkeer - AWV123
A0017661;0;0;0;127;Agentschap Wegen en Verkeer - AWV123
A0017662;0;0;0;127;Agentschap Wegen en Verkeer - AWV123
A0017671;0;0;0;635;Agentschap Wegen en Verkeer - AWV123
A0017672;0;0;0;635;Agentschap Wegen en Verkeer - AWV123
A0017681;0;-4;0;538;Agentschap Wegen en Verkeer - AWV123
A0017682;0;-4;0;538;Agentschap Wegen en Verkeer - AWV123
A0017691;0;-1;0;260;Agentschap Wegen en Verkeer - AWV123
A0017692;0;-1;0;260;Agentschap Wegen en Verkeer - AWV123
A0017701;0;0;0;2850;Agentschap Wegen en Verkeer - AWV123
A0017702;0;0;0;2850;Agentschap Wegen en Verkeer - AWV123
A0017711;0;-174;0;723;Agentschap Wegen en Verkeer - AWV123
A0017712;0;-174;0;723;Agentschap Wegen en Verkeer - AWV123
A0017721;0;0;0;758;Agentschap Wegen en Verkeer - AWV123
A0017722;0;0;0;758;Agentschap Wegen en Verkeer - AWV123
A0017731;0;0;0;533;Agentschap Wegen en Verkeer - AWV123
A0017732;0;0;0;533;Agentschap Wegen en Verkeer - AWV123
A0017741;0;0;0;254;Agentschap Wegen en Verkeer - AWV123
A0017742;0;0;0;254;Agentschap Wegen en Verkeer - AWV123
A0017751;0;0;0;852;Agentschap Wegen en Verkeer - AWV123
A0017751;0;852;0;853;Agentschap Wegen en Verkeer - AWV123
A0017752;0;0;0;852;Agentschap Wegen en Verkeer - AWV123
A0017752;0;852;0;853;Agentschap Wegen en Verkeer - AWV123
A0017761;0;-5;0;445;Agentschap Wegen en Verkeer - AWV123
A0017762;0;-5;0;445;Agentschap Wegen en Verkeer - AWV123
A0017771;0;0;0;690;Agentschap Wegen en Verkeer - AWV123
A0017772;0;0;0;690;Agentschap Wegen en Verkeer - AWV123
